"SP500_lag2","IndexDiv_lag1","Loss"
41.4141414141414,-93.9393939393939,140.900045281127
43.4343434343434,-93.9393939393939,270.395955695675
45.4545454545455,-93.9393939393939,441.406526591088
47.4747474747475,-93.9393939393939,648.599179528857
49.4949494949495,-93.9393939393939,891.630175353223
51.5151515151515,-93.9393939393939,1175.16663836919
53.5353535353536,-93.9393939393939,1496.12081046818
55.5555555555556,-93.9393939393939,1845.50801868269
57.5757575757576,-93.9393939393939,2231.55496106065
59.5959595959596,-93.9393939393939,2652.49548287753
61.6161616161616,-93.9393939393939,3109.37087795436
63.6363636363637,-93.9393939393939,3589.37160787523
65.6565656565657,-93.9393939393939,4082.21121451695
67.6767676767677,-93.9393939393939,4600.90436715973
69.6969696969697,-93.9393939393939,5155.41943632893
71.7171717171717,-93.9393939393939,5749.47572538864
73.7373737373738,-93.9393939393939,6374.44375267123
75.7575757575758,-93.9393939393939,7020.03471592094
77.7777777777778,-93.9393939393939,7696.33847657941
79.7979797979798,-93.9393939393939,8403.6156992573
81.8181818181818,-93.9393939393939,9140.1903052929
83.8383838383839,-93.9393939393939,9909.8163411131
85.8585858585859,-93.9393939393939,10742.7841082245
87.8787878787879,-93.9393939393939,11602.859645557
89.8989898989899,-93.9393939393939,12507.5813212158
91.919191919192,-93.9393939393939,13448.907370012
93.9393939393939,-93.9393939393939,14397.6698582941
95.959595959596,-93.9393939393939,15368.4578827571
97.979797979798,-93.9393939393939,16361.4284442913
100,-93.9393939393939,17374.4051872654
-100,-91.9191919191919,53687.6173004025
-97.979797979798,-91.9191919191919,52604.5113059021
-95.959595959596,-91.9191919191919,51542.4949522635
-93.9393939393939,-91.9191919191919,50492.0697323542
-91.9191919191919,-91.9191919191919,49448.0951095969
-89.8989898989899,-91.9191919191919,48401.9866639619
-87.8787878787879,-91.9191919191919,47367.932495634
-85.8585858585859,-91.9191919191919,46291.416779153
-83.8383838383838,-91.9191919191919,45197.8990515048
-81.8181818181818,-91.9191919191919,44102.09503591
-79.7979797979798,-91.9191919191919,43007.9214234787
-77.7777777777778,-91.9191919191919,41925.7674131897
-75.7575757575758,-91.9191919191919,40794.0011042368
-73.7373737373737,-91.9191919191919,39625.9086825891
-71.7171717171717,-91.9191919191919,38469.1629326056
-69.6969696969697,-91.9191919191919,37334.2454321089
-67.6767676767677,-91.9191919191919,36217.7784429499
-65.6565656565656,-91.9191919191919,35101.8023791832
-63.6363636363636,-91.9191919191919,34003.5710379925
-61.6161616161616,-91.9191919191919,32944.0219393475
-59.5959595959596,-91.9191919191919,31893.2090371884
-57.5757575757576,-91.9191919191919,30857.9588213501
-55.5555555555556,-91.9191919191919,29830.2006285746
-53.5353535353535,-91.9191919191919,28794.7326683434
-51.5151515151515,-91.9191919191919,27769.7381723221
-49.4949494949495,-91.9191919191919,26736.0267874482
-47.4747474747475,-91.9191919191919,25718.4516522689
-45.4545454545455,-91.9191919191919,24725.8536524387
-43.4343434343434,-91.9191919191919,23732.5924041596
